parcel_id,vacancy_class,source_signal
00-0000-1813,vacant,improvement_value_zero_or_null
00-0000-1821,vacant,improvement_value_zero_or_null
00-0000-1839,vacant,improvement_value_zero_or_null
00-0000-1847,vacant,improvement_value_zero_or_null
00-0000-1854,vacant,improvement_value_zero_or_null
00-0000-1862,vacant,improvement_value_zero_or_null
00-0000-1870,vacant,improvement_value_zero_or_null
00-0000-1888,vacant,improvement_value_zero_or_null
00-0000-1896,vacant,improvement_value_zero_or_null
00-0000-1904,vacant,improvement_value_zero_or_null
00-0000-1912,vacant,improvement_value_zero_or_null
00-0000-1920,developed,improvement_value_ge_20pct_land_value
00-0000-1938,vacant,improvement_value_zero_or_null
00-0000-1946,vacant,improvement_value_zero_or_null
00-0000-1953,vacant,improvement_value_zero_or_null
00-0000-1961,vacant,improvement_value_zero_or_null
00-0000-1979,developed,improvement_value_ge_20pct_land_value
00-0000-1987,vacant,improvement_value_zero_or_null
00-0000-1995,vacant,improvement_value_zero_or_null
00-0000-2001,vacant,improvement_value_zero_or_null
00-0000-2019,vacant,improvement_value_zero_or_null
00-0000-2027,vacant,improvement_value_zero_or_null
00-0000-2035,vacant,improvement_value_zero_or_null
00-0000-2043,vacant,improvement_value_zero_or_null
00-0000-2050,developed,improvement_value_ge_20pct_land_value
00-0000-2068,vacant,improvement_value_zero_or_null
00-0000-2076,vacant,improvement_value_zero_or_null
00-0000-2084,developed,improvement_value_ge_20pct_land_value
00-0000-2092,vacant,improvement_value_zero_or_null
00-0000-2100,vacant,improvement_value_zero_or_null
00-0000-2118,vacant,improvement_value_zero_or_null
00-0000-2126,vacant,improvement_value_zero_or_null
00-0000-2134,vacant,improvement_value_zero_or_null
00-0000-2142,developed,improvement_value_ge_20pct_land_value
00-0000-2159,developed,improvement_value_ge_20pct_land_value
00-0000-2167,developed,improvement_value_ge_20pct_land_value
00-0000-2175,vacant,improvement_value_zero_or_null
00-0000-2183,developed,improvement_value_ge_20pct_land_value
00-0000-2191,vacant,improvement_value_zero_or_null
00-0000-2209,vacant,improvement_value_zero_or_null
00-0000-2217,developed,improvement_value_ge_20pct_land_value
00-0000-2225,vacant,improvement_value_zero_or_null
00-0000-2233,developed,improvement_value_ge_20pct_land_value
00-0000-2241,vacant,improvement_value_zero_or_null
00-0000-2258,vacant,improvement_value_zero_or_null
00-0000-2266,vacant,improvement_value_zero_or_null
00-0000-2274,developed,improvement_value_ge_20pct_land_value
00-0000-2282,developed,improvement_value_ge_20pct_land_value
00-0000-2290,vacant,improvement_value_zero_or_null
00-0000-2308,vacant,improvement_value_zero_or_null
00-0000-2316,developed,improvement_value_ge_20pct_land_value
00-0000-2324,vacant,improvement_value_zero_or_null
00-0000-2332,vacant,improvement_value_zero_or_null
00-0000-2340,developed,improvement_value_ge_20pct_land_value
00-0000-2357,vacant,improvement_value_zero_or_null
00-0000-2365,vacant,improvement_value_zero_or_null
00-0000-2373,vacant,improvement_value_zero_or_null
00-0000-2381,vacant,improvement_value_zero_or_null
00-0000-2399,developed,improvement_value_ge_20pct_land_value
00-0000-2415,developed,improvement_value_ge_20pct_land_value
00-0000-2423,vacant,improvement_value_zero_or_null
00-0000-2431,vacant,improvement_value_zero_or_null
00-0000-2449,developed,improvement_value_ge_20pct_land_value
00-0000-2456,vacant,improvement_value_zero_or_null
00-0000-2464,vacant,improvement_value_zero_or_null
00-0000-2472,vacant,improvement_value_zero_or_null
00-0000-2480,vacant,improvement_value_zero_or_null
00-0000-2506,vacant,improvement_value_zero_or_null
00-0000-2514,vacant,improvement_value_zero_or_null
00-0000-2522,vacant,improvement_value_zero_or_null
00-0000-2530,vacant,improvement_value_zero_or_null
00-0000-2548,vacant,improvement_value_zero_or_null
00-0000-2555,vacant,improvement_value_zero_or_null
00-0000-2563,vacant,improvement_value_zero_or_null
00-0000-2571,vacant,improvement_value_zero_or_null
00-0000-2589,vacant,improvement_value_zero_or_null
00-0000-2597,vacant,improvement_value_zero_or_null
00-0000-2605,vacant,improvement_value_zero_or_null
00-0000-2613,vacant,improvement_value_zero_or_null
00-0000-2621,vacant,improvement_value_zero_or_null
00-0000-2639,vacant,improvement_value_zero_or_null
00-0000-2647,vacant,improvement_value_zero_or_null
00-0000-2654,vacant,improvement_value_zero_or_null
00-0000-2662,vacant,improvement_value_zero_or_null
00-0000-2670,vacant,improvement_value_zero_or_null
00-0000-2688,vacant,improvement_value_zero_or_null
00-0000-2696,vacant,improvement_value_zero_or_null
00-0000-2704,vacant,improvement_value_zero_or_null
00-0000-2712,vacant,improvement_value_zero_or_null
00-0000-2720,developed,improvement_value_ge_20pct_land_value
00-0000-2738,vacant,improvement_value_zero_or_null
00-0000-2746,vacant,improvement_value_zero_or_null
00-0000-2753,vacant,improvement_value_zero_or_null
00-0000-2761,vacant,improvement_value_zero_or_null
00-0000-2779,vacant,improvement_value_zero_or_null
00-0000-2787,vacant,improvement_value_zero_or_null
00-0000-2795,vacant,improvement_value_zero_or_null
00-0000-2803,developed,improvement_value_ge_20pct_land_value
00-0000-2811,vacant,improvement_value_zero_or_null
00-0000-2829,vacant,improvement_value_zero_or_null
00-0000-2837,vacant,improvement_value_zero_or_null
00-0000-2845,vacant,improvement_value_zero_or_null
00-0000-2852,vacant,improvement_value_zero_or_null
00-0000-2860,vacant,improvement_value_zero_or_null
00-0000-2878,vacant,improvement_value_zero_or_null
00-0000-2886,vacant,improvement_value_zero_or_null
00-0000-2894,vacant,improvement_value_zero_or_null
00-0000-2902,vacant,improvement_value_zero_or_null
00-0000-2910,vacant,improvement_value_zero_or_null
00-0000-2928,vacant,improvement_value_zero_or_null
00-0000-2936,developed,improvement_value_ge_20pct_land_value
00-0000-2944,vacant,improvement_value_zero_or_null
00-0000-2951,vacant,improvement_value_zero_or_null
00-0000-2969,vacant,improvement_value_zero_or_null
00-0000-2977,vacant,improvement_value_zero_or_null
00-0000-2985,developed,improvement_value_ge_20pct_land_value
00-0000-2993,vacant,land_use_field
00-0000-3009,developed,improvement_value_ge_20pct_land_value
00-0000-3033,developed,developed_land_use_no_values
00-0000-3041,developed,improvement_value_ge_20pct_land_value
00-0000-3058,vacant,improvement_value_zero_or_null
00-0000-3066,vacant,improvement_value_zero_or_null
00-0000-3074,vacant,improvement_value_zero_or_null
00-0000-3082,vacant,improvement_value_zero_or_null
00-0000-3090,vacant,improvement_value_zero_or_null
00-0000-3108,vacant,improvement_value_zero_or_null
00-0000-3116,developed,improvement_value_ge_20pct_land_value
00-0000-3124,developed,improvement_value_ge_20pct_land_value
00-0000-3132,vacant,improvement_value_zero_or_null
00-0000-3140,vacant,improvement_value_zero_or_null
00-0000-3157,vacant,improvement_value_zero_or_null
00-0000-3165,vacant,improvement_value_zero_or_null
00-0000-3173,vacant,improvement_value_zero_or_null
00-0000-3181,partial,improvement_value_lt_20pct_land_value
00-0000-3199,vacant,improvement_value_zero_or_null
00-0000-3207,vacant,improvement_value_zero_or_null
00-0000-3215,vacant,improvement_value_zero_or_null
00-0000-3223,vacant,improvement_value_zero_or_null
00-0000-3231,developed,improvement_value_ge_20pct_land_value
00-0000-3249,vacant,improvement_value_zero_or_null
00-0000-3256,vacant,improvement_value_zero_or_null
00-0000-3264,vacant,improvement_value_zero_or_null
00-0000-3272,developed,improvement_value_ge_20pct_land_value
00-0000-3280,developed,improvement_value_ge_20pct_land_value
00-0000-3298,vacant,improvement_value_zero_or_null
00-0000-3306,vacant,improvement_value_zero_or_null
00-0000-3314,developed,improvement_value_ge_20pct_land_value
00-0000-3322,vacant,improvement_value_zero_or_null
00-0000-3330,vacant,improvement_value_zero_or_null
00-0000-3348,developed,improvement_value_ge_20pct_land_value
00-0000-3355,vacant,improvement_value_zero_or_null
00-0000-3363,developed,improvement_value_ge_20pct_land_value
00-0000-3371,developed,improvement_value_ge_20pct_land_value
00-0000-3389,developed,improvement_value_ge_20pct_land_value
00-0000-3397,vacant,improvement_value_zero_or_null
00-0000-3405,vacant,improvement_value_zero_or_null
00-0000-3413,vacant,improvement_value_zero_or_null
00-0000-3421,developed,improvement_value_ge_20pct_land_value
00-0000-3439,developed,improvement_value_ge_20pct_land_value
00-0000-3447,vacant,improvement_value_zero_or_null
00-0000-3454,developed,improvement_value_ge_20pct_land_value
00-0000-3462,developed,improvement_value_ge_20pct_land_value
00-0000-3470,vacant,improvement_value_zero_or_null
00-0000-3488,developed,improvement_value_ge_20pct_land_value
00-0000-3496,vacant,improvement_value_zero_or_null
00-0000-3504,vacant,improvement_value_zero_or_null
00-0000-3512,vacant,improvement_value_zero_or_null
00-0000-3520,vacant,improvement_value_zero_or_null
00-0000-3538,vacant,improvement_value_zero_or_null
00-0000-3546,developed,improvement_value_ge_20pct_land_value
00-0000-3553,vacant,improvement_value_zero_or_null
00-0000-3561,developed,improvement_value_ge_20pct_land_value
00-0000-3579,developed,improvement_value_ge_20pct_land_value
00-0000-3587,vacant,improvement_value_zero_or_null
00-0000-3603,vacant,improvement_value_zero_or_null
00-0000-3611,developed,improvement_value_ge_20pct_land_value
00-0000-3629,vacant,improvement_value_zero_or_null
00-0000-3637,developed,improvement_value_ge_20pct_land_value
00-0000-3645,vacant,improvement_value_zero_or_null
00-0000-3652,vacant,improvement_value_zero_or_null
00-0000-3660,developed,improvement_value_ge_20pct_land_value
00-0000-3678,vacant,improvement_value_zero_or_null
00-0000-3686,vacant,improvement_value_zero_or_null
00-0000-3694,developed,improvement_value_ge_20pct_land_value
00-0000-3702,developed,improvement_value_ge_20pct_land_value
00-0000-3710,developed,improvement_value_ge_20pct_land_value
00-0000-3728,developed,improvement_value_ge_20pct_land_value
00-0000-3736,developed,improvement_value_ge_20pct_land_value
00-0000-3744,vacant,improvement_value_zero_or_null
00-0000-3751,vacant,improvement_value_zero_or_null
00-0000-3769,vacant,improvement_value_zero_or_null
00-0000-3777,vacant,improvement_value_zero_or_null
00-0000-3785,vacant,improvement_value_zero_or_null
00-0000-3793,vacant,improvement_value_zero_or_null
00-0000-3801,developed,improvement_value_ge_20pct_land_value
00-0000-3819,developed,improvement_value_ge_20pct_land_value
00-0000-3827,developed,improvement_value_ge_20pct_land_value
00-0000-3835,vacant,improvement_value_zero_or_null
00-0000-3850,vacant,land_use_field
00-0000-3868,vacant,improvement_value_zero_or_null
00-0000-3876,developed,improvement_value_ge_20pct_land_value
00-0000-3884,vacant,improvement_value_zero_or_null
00-0000-3900,vacant,improvement_value_zero_or_null
00-0000-3918,vacant,improvement_value_zero_or_null
00-0000-3926,vacant,improvement_value_zero_or_null
00-0000-3934,developed,improvement_value_ge_20pct_land_value
00-0000-3942,vacant,improvement_value_zero_or_null
00-0000-3959,developed,improvement_value_ge_20pct_land_value
00-0000-3967,vacant,improvement_value_zero_or_null
00-0000-3975,vacant,improvement_value_zero_or_null
00-0000-3983,developed,improvement_value_ge_20pct_land_value
00-0000-3991,developed,improvement_value_ge_20pct_land_value
00-0000-4007,vacant,improvement_value_zero_or_null
00-0000-4015,vacant,improvement_value_zero_or_null
00-0000-4023,vacant,improvement_value_zero_or_null
00-0000-4031,developed,improvement_value_ge_20pct_land_value
00-0000-4049,vacant,improvement_value_zero_or_null
00-0000-4056,developed,improvement_value_ge_20pct_land_value
00-0000-4064,vacant,improvement_value_zero_or_null
00-0000-4072,vacant,improvement_value_zero_or_null
00-0000-4080,developed,improvement_value_ge_20pct_land_value
00-0000-4098,vacant,improvement_value_zero_or_null
00-0000-4106,vacant,improvement_value_zero_or_null
00-0000-4114,vacant,improvement_value_zero_or_null
00-0000-4122,developed,improvement_value_ge_20pct_land_value
00-0000-4130,vacant,improvement_value_zero_or_null
00-0000-4148,developed,improvement_value_ge_20pct_land_value
00-0000-4155,developed,improvement_value_ge_20pct_land_value
00-0000-4163,vacant,improvement_value_zero_or_null
00-0000-4171,vacant,improvement_value_zero_or_null
00-0000-4189,developed,improvement_value_ge_20pct_land_value
00-0000-4197,vacant,improvement_value_zero_or_null
00-0000-4205,vacant,improvement_value_zero_or_null
00-0000-4213,developed,improvement_value_ge_20pct_land_value
00-0000-4221,vacant,improvement_value_zero_or_null
00-0000-4239,vacant,improvement_value_zero_or_null
00-0000-4247,vacant,improvement_value_zero_or_null
00-0000-4254,vacant,improvement_value_zero_or_null
00-0000-4262,vacant,improvement_value_zero_or_null
00-0000-4270,partial,improvement_value_lt_20pct_land_value
00-0000-4288,vacant,improvement_value_zero_or_null
00-0000-4296,vacant,improvement_value_zero_or_null
00-0000-4304,vacant,improvement_value_zero_or_null
00-0000-4312,vacant,improvement_value_zero_or_null
00-0000-4320,vacant,improvement_value_zero_or_null
