parcel_id,centroid_lng,centroid_lat,sampled_zone,extraction_method,color_match_confidence,lab_distance,parcel_city,acreage
26331000080000,-112.074381,40.522312,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0668,13.96,Herriman,7.47
26274012240000,-112.04785,40.526581,Single Family Residential (2.6-4.5 du/acre),centroid,0.114,7.77,Herriman,0.1
26342330040000,-112.044484,40.519408,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1615,5.19,Herriman,
26274012250000,-112.047849,40.526449,Single Family Residential (2.6-4.5 du/acre),centroid,0.114,7.77,Herriman,0.1
26331000100000,-112.062974,40.520307,Resort/Recreational,centroid,0.0418,22.93,Herriman,2.75
26344040050000,-112.052992,40.513935,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2695,2.71,Herriman,0.21
26274012260000,-112.047849,40.526317,Single Family Residential (2.6-4.5 du/acre),centroid,0.1147,7.72,Herriman,0.1
26331000110000,-112.064588,40.516914,Medium Density Residential (4.6-8 du/acre),centroid,0.1682,4.95,Herriman,2.75
26342330050000,-112.044446,40.519372,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1619,5.18,Herriman,
26274012740000,-112.052679,40.526388,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1322,6.56,Herriman,0.12
26342330060000,-112.044415,40.519338,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0843,10.86,Herriman,
26331000150000,-112.062965,40.522068,Resort/Recreational,centroid,0.0416,23.06,Herriman,
26274012750000,-112.052632,40.526537,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0981,9.19,Herriman,0.14
26344040060000,-112.052756,40.514062,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2295,3.36,Herriman,0.21
26331000160000,-112.063666,40.516308,Medium Density Residential (4.6-8 du/acre),centroid,0.1761,4.68,Herriman,
26274012760000,-112.052525,40.52666,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0998,9.02,Herriman,0.14
26342330070000,-112.044376,40.519199,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0844,10.85,Herriman,
26344040070000,-112.051596,40.514453,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0948,9.55,Herriman,0.14
26274012770000,-112.052377,40.526759,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0806,11.41,Herriman,0.12
26331010020000,-112.080715,40.519823,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0696,13.36,Herriman,27.16
26274012780000,-112.052209,40.526833,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0638,14.67,Herriman,0.11
26342330080000,-112.044366,40.519286,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0843,10.86,Herriman,
26344040080000,-112.051429,40.514585,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1341,6.46,Herriman,0.16
26333010040000,-112.079495,40.513995,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0596,15.78,Herriman,27.17
26274012790000,-112.052047,40.526893,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1241,7.06,Herriman,0.1
26342330090000,-112.044333,40.519256,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0844,10.85,Herriman,
26274012800000,-112.051893,40.526954,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0816,11.25,Herriman,0.1
26333260030000,-112.07575,40.512073,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0634,14.77,Herriman,6.38
26344040090000,-112.052749,40.515287,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2516,2.97,Herriman,0.24
26333260050000,-112.070734,40.513432,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2075,3.82,Herriman,92.68
26274012810000,-112.05174,40.527015,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1242,7.05,Herriman,0.1
26342330100000,-112.044298,40.519218,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0844,10.85,Herriman,
26333510010000,-112.080526,40.510882,Mixed Use - Towne Center,centroid,0.0813,11.3,,5.67
26344040100000,-112.052747,40.515072,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2461,3.06,Herriman,0.21
26274012820000,-112.051586,40.527077,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0931,9.75,Herriman,0.1
26333510020000,-112.079242,40.510279,Mixed Use - Towne Center,centroid,0.0852,10.74,,6.08
26342330110000,-112.044261,40.519186,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0675,13.82,Herriman,
26274012830000,-112.051432,40.527138,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0964,9.37,Herriman,0.1
26344040110000,-112.052797,40.514829,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2407,3.15,Herriman,0.24
26333510040000,-112.076903,40.510716,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0696,13.36,,5.64
26274012840000,-112.051279,40.527199,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0961,9.4,Herriman,0.1
26342340010000,-112.044831,40.519118,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2219,3.51,Herriman,
26333510070000,-112.078672,40.509967,Mixed Use - Towne Center,centroid,0.0828,11.08,,0.11
26344040120000,-112.052581,40.514629,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2407,3.15,Herriman,0.25
26333510080000,-112.078105,40.510282,Open Space,centroid,0.072,12.88,,5.98
26274012850000,-112.051125,40.52726,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0815,11.27,Herriman,0.1
